PO,Item_Code,Item_Name,DC,DC_Match,Item_Match
PO-32090.pdf,99-98-9810010-01,"HikVision DS-2CD2683G0-IZS,
8 MP 4K IR Vari focal Bullet Network
Camera
1 2 5 Progressive Scan CMOS
3840 X 2160 15fps
2 8 to 12 mm varifocal lens",Delivery Challans PO # LPO 32090 and LPO 34352_recognized.txt,1,1
PO-32090.pdf,99-98-9810010-17,"UBNT Power Beam M5-400 25dBi
Wireless Bridge",,0,0
PO-32090.pdf,99-98-9810010-25,"Complete Installation and commisioning
of whole Project",,0,0
PO-32090.pdf,99-98-9810010-01,"HikVision DS-2DF8436IX-AEL(W)
4MP 36 Network IR Speed Dome
1 1 8 HD CMOS sensor
Up to 2560  1440 resolution
36x Optical Zoom",Delivery Challans PO # LPO 32090 and LPO 34352_recognized.txt,1,1
PO-32090.pdf,99-98-9810010-01,"BlazerPRO 128 Ch,",,0,0
PO-33833.pdf,99-33-2000016-09,"BELT,V:",,0,0
PO-33833.pdf,99-33-2000016-38,"BELT,V:",,0,0
PO-33833.pdf,99-33-2000022-40,"BELT,V:",,0,0
PO-33833.pdf,99-33-2000022-15,"BELT,V:",,0,0
LPO-35234.pdf,21-90-1000001-48,"RESERVOIR,INK:",,0,0
LPO-35234.pdf,21-90-1000001-49,"CARTRIDGE,FONT:",,0,0
FPO-31404.pdf,09-47-1001010-11,PIG:,Fatima 124791 Shp Docs Stamped.txt,1,1
FPO-31404.pdf,09-47-1001010-12,PIG:,Fatima 124791 Shp Docs Stamped.txt,1,1
FPO-31404.pdf,09-47-1001010-13,PIG:,Fatima 124791 Shp Docs Stamped.txt,1,1
FPO-31404.pdf,99-98-9810010-02,"METALLIC PIG RECEIVER,
TRANSMITTER AND ANTENNA SET",Fatima 124791 Shp Docs Stamped.txt,1,1
LPO-35007.pdf,99-90-1300025-04,"CABLE,FIBER OPTIC:",,0,0
PO-35045.pdf,07-42-1401025-06,SEAL:,207498 FFCL.txt,1,1
PO-35045.pdf,07-42-1401111-13,BELLOWS:,,0,0
PO-35045.pdf,06-56-2305410-24,BELLOWS:,207498 FFCL.txt,1,1
PO-35045.pdf,06-56-2305410-25,BELLOWS:,207498 FFCL.txt,1,1
PO-35045.pdf,06-56-2305410-26,BELLOWS:,207498 FFCL.txt,1,1
PO-32436.pdf,99-98-9810010-01,BLANK SHIELD FOR HOUSEKEEPING,,0,0
PO-34222.pdf,99-76-1000004-13,"LIGHT,LED:",,0,0
PO-31999.pdf,99-98-9810010-25,"MECHANICAL & CIVIL DESIGN OF
PHOSPHORIC ACID STORAGE TANK
AND FACILITIES",,0,0
PO-35712.pdf,99-13-0002210-03,RESPIRATOR:,,0,0
